region,year,carnivore,herbivore,piscivore,planktivore,lag4_carnivore,lag4_piscovore
ANA,2003,43.89140277756492,89.94979745753798,29.245172015607686,30.034204087337947,186.4606281627061,41.22408255447239
ANA,2004,43.55294698107572,16.79972211423933,15.790284655717755,20.32905072198123,66.43520276270472,65.11907577302799
SCI,2004,77.68069760430426,69.99850714857959,42.54703027861592,25.80266780124334,116.28945067561895,92.74892284748836
ANA,2005,49.651053824018845,38.6286222810123,22.913367486002095,19.422993144179184,83.17873441514374,47.57428918104863
SCI,2005,101.2688746360461,47.71324583467791,34.18860794860159,30.499474033406578,123.49374871626,96.15632050180052
ANA,2006,45.529737105483576,28.010091074571505,14.177252519160419,19.554953008452618,32.958891637869826,34.60802178781151
SCI,2006,94.56409123342279,54.71995448774323,41.248336152636284,30.70250229003118,136.73308835172338,76.58779435400957
ANA,2007,57.84887114543151,44.81152317571867,27.5760187592204,23.10974787804894,43.89140277756492,29.245172015607686
SCI,2007,90.0196253060052,33.64178989965895,35.79590776971959,37.634113291686255,86.54369895841619,37.14472356511617
SMI,2007,58.98088041349932,0,28.656908544395584,36.80910685556985,36.133848072310705,14.410113836119221
ANA,2008,33.16312058273327,17.658415278753598,7.460342897864663,9.78844100389736,43.55294698107572,15.790284655717755
SCI,2008,95.12971649988785,32.13075024162578,51.124574332814376,25.997976723806833,77.68069760430426,42.54703027861592
SMI,2008,75.14445081347816,0,35.50665411522419,62.947088970144215,69.83600443449295,41.51537602107112
SRI,2008,70.21778251350992,2.242717548651881,18.060154539957374,34.42632465537407,110.92116140526505,28.10313304386715
ANA,2009,76.72001320803389,45.38707987561175,43.23685089335714,39.17992422471794,49.651053824018845,22.913367486002095
SCI,2009,136.25888452454623,41.234100725954555,99.62701200272903,71.27750391994694,101.2688746360461,34.18860794860159
SMI,2009,173.15241074096969,0.42306278862984553,88.83916995904119,172.06462770750136,32.1393917341273,30.082828398566097
SRI,2009,174.82457006689222,15.703383195694009,92.50862630077523,93.74143600722573,86.86343827830369,20.723898779990975
ANA,2010,70.66915032485905,49.10574541462359,47.046517090722304,36.200244394792946,45.529737105483576,14.177252519160419
SCI,2010,158.52241361162874,45.7847515453058,69.84189498673125,76.21602646316016,94.56409123342279,41.248336152636284
SMI,2010,146.49855975148466,0,50.66922745488533,81.94821386657847,100.68435298453565,72.88896829087807
SRI,2010,109.14091615902825,8.280015769199304,42.449212811898214,56.963546464314454,111.33468386681467,48.82394748088104
ANA,2011,82.86422391287319,33.76969604484066,42.48129257696863,30.479387365882992,57.84887114543151,27.5760187592204
SCI,2011,166.79347176485513,42.277770297587466,88.95095416084114,65.9642185373522,90.0196253060052,35.79590776971959
SMI,2011,91.15088427250387,2.1022952511074915,81.34767232310443,193.70514767651937,58.98088041349932,28.656908544395584
SRI,2011,171.1273355474445,15.287953423804531,81.39211240233148,105.06328146675514,180.6578323324832,47.94384699519083
ANA,2012,50.76760994662108,43.045704602873954,39.32042541220362,29.40532245171557,33.16312058273327,7.460342897864663
SCI,2012,121.62181860248754,34.686261045925164,70.56644967310154,40.485269717069414,95.12971649988785,51.124574332814376
SMI,2012,91.46224696837217,0,62.67507271760694,60.17638698415265,75.14445081347816,35.50665411522419
SRI,2012,133.92128646365782,13.695412673797026,61.303235273194744,94.7735730699828,70.21778251350992,18.060154539957374
ANA,2013,58.20370413396559,10.563486150531041,37.82384530570073,35.388055684191514,76.72001320803389,43.23685089335714
SCI,2013,159.18137988513521,28.39502141686608,90.37626131174771,62.07031038879948,136.25888452454623,99.62701200272903
SRI,2013,180.42840143793825,13.038279110846641,56.3554423226854,104.33031886903933,174.82457006689222,92.50862630077523
ANA,2014,58.064516960823234,33.472929615085135,26.342205062457516,43.51163205900315,70.66915032485905,47.046517090722304
SCI,2014,127.50964621396241,39.64629259017475,74.98192978301653,56.24063713011884,158.52241361162874,69.84189498673125
SMI,2014,61.71418636600207,1.5993805218746857,38.64271411852259,51.79836340728791,173.15241074096969,88.83916995904119
SRI,2014,98.94992073035124,6.537648942698939,54.420419004117896,54.44747235905392,109.14091615902825,42.449212811898214
ANA,2015,44.76399015539216,43.452341380945406,35.3589564648041,27.868974178446692,82.86422391287319,42.48129257696863
SCI,2015,125.5008448561345,53.06400052625417,72.02465491776107,63.45504659010021,166.79347176485513,88.95095416084114
SRI,2015,84.27120701235633,8.649975465793947,50.924045901059166,120.13223962288012,171.1273355474445,81.39211240233148
ANA,2016,65.92758428345446,70.41138231068602,65.33608338225375,34.26318218751988,50.76760994662108,39.32042541220362
SCI,2016,159.57276640153273,64.82885573759286,85.91042525339502,102.90321093779932,121.62181860248754,70.56644967310154
SMI,2016,31.63945913918363,0,43.43830479086938,100.08833249875603,146.49855975148466,50.66922745488533
SRI,2016,111.79517986364586,21.75263023350184,58.67904606585687,93.02038050563634,133.92128646365782,61.303235273194744
ANA,2017,74.54670322124818,59.469831640998535,54.30180026721246,16.219373704163722,58.20370413396559,37.82384530570073
SCI,2017,166.74152726571083,80.52421731526834,89.67962504698393,76.38600713212269,159.18137988513521,90.37626131174771
SRI,2017,78.1302729103251,45.14394891804233,52.099006224399965,94.02672238872445,180.42840143793825,56.3554423226854
